City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,arenapolis,-14.4503,-56.8461,309.49,15,0,2.99,BR,1691701477
159,codrington,-38.2667,141.9667,282.96,81,100,4.74,AU,1691701031
160,lae,-6.7221,146.9847,295.99,92,95,0.78,PG,1691701007
161,anadyr,64.75,177.4833,282.43,81,75,5.0,RU,1691700978
162,snowflake,34.5134,-110.0785,302.39,25,70,5.52,US,1691701477
163,lethem,3.3803,-59.7968,302.75,65,81,1.89,GY,1691701026
164,dunedin,-45.8742,170.5036,276.37,75,100,0.45,NZ,1691700894
165,kismayo,-0.3582,42.5454,297.34,83,46,7.28,SO,1691701296
166,sirte,31.2089,16.5887,299.08,64,0,4.52,LY,1691701477
167,mount gambier,-37.8333,140.7667,282.34,92,100,2.6,AU,1691700975
168,port augusta,-32.5,137.7667,280.64,83,0,2.0,AU,1691701007
169,quetta,30.199,67.0097,298.93,36,4,1.87,PK,1691701478
170,hermanus,-34.4187,19.2345,289.2,60,0,1.46,ZA,1691700987
171,ar ruways,24.1103,52.7306,307.66,55,3,4.63,AE,1691701001
172,ceelbuur,4.685,46.6176,297.34,73,41,9.61,SO,1691701478
173,cannonvale,-20.2833,148.7,291.81,76,2,4.36,AU,1691701298
174,la passe,45.5549,-0.8967,294.28,92,34,3.6,FR,1691700985
175,cole harbour,44.6724,-63.4751,298.68,64,54,6.71,CA,1691701241
176,coronel dorrego,-38.7187,-61.2873,288.11,52,100,3.93,AR,1691701363
177,porkhov,57.765,29.5561,287.78,83,79,0.79,RU,1691701478
178,coahuayana de hidalgo,18.7,-103.6583,305.16,63,95,3.04,MX,1691700983
179,uniao,-4.5858,-42.8642,304.75,31,41,0.82,BR,1691701478
180,toliara,-23.35,43.6667,291.41,66,0,6.92,MG,1691701478
181,puerto colombia,10.9878,-74.9547,304.2,75,100,6.15,CO,1691701479
182,la paz,-16.5,-68.15,290.14,12,20,4.12,BO,1691701192
183,seydi,39.4816,62.9137,302.63,24,0,4.38,TM,1691701484
184,padang,-0.9492,100.3543,295.43,96,84,1.36,ID,1691701230
185,bardsir,29.9227,56.5743,294.58,20,0,1.97,IR,1691701484
186,laguna,38.421,-121.4238,308.2,39,0,1.54,US,1691700985
187,iskateley,67.6803,53.1512,283.81,79,7,2.48,RU,1691700981
188,margate,51.3813,1.3862,292.21,73,41,1.34,GB,1691701484
189,nchelenge,-9.3451,28.734,292.86,44,3,1.77,ZM,1691701484
190,tsaratanana,-16.7833,47.65,292.6,78,3,1.15,MG,1691701485
191,kruisfontein,-34.0033,24.7314,292.16,28,2,5.09,ZA,1691700943
192,bama,11.5221,13.6856,296.95,82,100,3.21,NG,1691701485
193,zalingei,12.9096,23.4741,295.68,85,8,1.46,SD,1691701485
194,port lincoln,-34.7333,135.8667,282.38,79,5,2.4,AU,1691700970
195,northam,51.0333,-4.2167,292.81,90,97,5.87,GB,1691701195
196,crane,31.3974,-102.3501,314.89,12,1,2.82,US,1691701005
197,ta`u,-14.2336,-169.5144,300.65,73,100,6.99,AS,1691700996
198,la ronge,55.1001,-105.2842,286.29,94,100,6.69,CA,1691701194
199,olinda,-8.0089,-34.8553,299.0,73,20,6.69,BR,1691701265
200,san patricio,28.017,-97.5169,312.68,44,0,8.62,US,1691700977
201,invercargill,-46.4,168.35,274.83,91,100,2.68,NZ,1691700762
202,saynshand,44.8824,110.1163,294.16,65,1,2.53,MN,1691701296
203,zhanaozen,43.3,52.8,302.34,28,28,5.78,KZ,1691701486
204,nova sintra,14.8667,-24.7167,295.82,75,22,7.22,CV,1691701009
205,tazovsky,67.4667,78.7,279.47,65,1,9.09,RU,1691700989
206,susuman,62.7833,148.1667,286.79,53,6,0.72,RU,1691701003
207,ponta delgada,37.7333,-25.6667,296.55,83,40,3.6,PT,1691701008
208,isangel,-19.55,169.2667,293.21,56,75,2.57,VU,1691701486
209,mao,39.8885,4.2658,299.46,83,20,1.03,ES,1691701486
210,oranjemund,-28.55,16.4333,290.11,67,21,1.46,NA,1691701180
211,ust'-ilimsk,58.0006,102.6619,288.95,77,100,2.04,RU,1691701486
212,el porvenir,13.7617,-87.3458,307.78,38,65,2.83,HN,1691701486
213,kiuruvesi,63.65,26.6167,288.9,68,91,2.61,FI,1691701486
214,salinas,36.6777,-121.6555,303.14,68,0,5.14,US,1691701211
215,lensk,60.7253,114.9278,292.8,74,100,1.64,RU,1691700997
216,galesong,-5.3166,119.3661,294.16,77,17,3.07,ID,1691701487
217,funafuti,-8.5243,179.1942,303.15,84,75,2.57,TV,1691701187
218,leninskoye,41.7589,69.3864,298.68,28,0,0.65,KZ,1691701192
219,huarmey,-10.0681,-78.1522,294.66,74,3,5.87,PE,1691701175
220,alice springs,-23.7,133.8833,278.9,65,0,2.57,AU,1691701011
221,covington,39.0837,-84.5086,302.17,64,88,0.45,US,1691701206
222,kabompo,-13.5927,24.2008,287.97,39,1,2.29,ZM,1691701487
223,st austell,50.3383,-4.7658,291.46,100,75,4.63,GB,1691701487
224,tharyarwady,17.65,95.8,297.21,96,100,1.66,MM,1691701487
225,vernon,50.2581,-119.2691,297.38,52,74,1.54,CA,1691701005
226,panaba,21.2833,-88.2667,310.74,38,11,9.18,MX,1691701487
227,ust-tsilma,65.441,52.1498,286.1,77,0,1.36,RU,1691701488
228,katima mulilo,-17.5,24.2667,290.32,36,0,3.93,NA,1691701181
229,katsuura,35.1333,140.3,299.34,88,6,4.06,JP,1691701016
230,toamasina,-18.1667,49.3833,294.15,94,75,1.03,MG,1691701488
231,magadan,59.5667,150.8,286.46,71,4,1.97,RU,1691701022
232,mazamari,-11.3258,-74.5308,304.52,43,53,0.88,PE,1691701488
233,christchurch,-43.5333,172.6333,276.16,85,99,1.32,NZ,1691701056
234,arar,30.9753,41.0381,309.16,9,20,3.6,SA,1691701243
235,nar'yan-mar,67.6713,53.087,283.88,80,7,2.5,RU,1691700987
236,whangarei,-35.7317,174.3239,281.48,84,30,1.51,NZ,1691701488
237,san jose del guaviare,2.5729,-72.6459,298.29,91,100,1.32,CO,1691701488
238,severo-yeniseyskiy,60.3725,93.0408,285.03,95,100,1.82,RU,1691701489
239,zarah sharan,33.1467,68.7917,296.79,46,8,1.94,AF,1691701489
240,cockburn town,21.4612,-71.1419,302.08,83,100,8.46,TC,1691701489
241,levuka,50.1834,-105.4011,298.0,44,40,7.72,CA,1691701489
242,ingeniero guillermo n. juarez,-23.9,-61.85,307.29,28,0,2.79,AR,1691701489
243,flying fish cove,-10.4217,105.6791,296.97,88,100,4.63,CX,1691700983
244,awjilah,29.1081,21.2869,300.17,51,0,7.89,LY,1691701489
245,melfort,52.8667,-104.6177,285.22,87,100,5.14,CA,1691701489
246,swakopmund,-22.6833,14.5333,286.62,88,60,1.34,NA,1691701489
247,ukholovo,53.7929,40.4892,291.92,80,69,3.23,RU,1691701490
248,ajuchitlan del progreso,18.1519,-100.4835,301.78,74,100,1.19,MX,1691701490
249,touros,-5.1989,-35.4608,298.22,79,32,7.01,BR,1691701015
250,khilok,51.3674,110.4676,285.69,98,100,1.75,RU,1691701249
251,luwuk,-0.9516,122.7875,297.31,85,100,2.2,ID,1691701490
252,tolanaro,-25.0319,46.9987,292.19,77,75,3.09,MG,1691701250
253,bereket,39.2446,55.5154,305.8,22,0,3.25,TM,1691701490
254,asmara,15.3333,38.9333,291.81,59,56,0.67,ER,1691701490
255,hueytamalco,19.95,-97.2667,304.64,54,63,2.66,MX,1691701490
256,yuzhno-kurilsk,44.0306,145.8556,293.3,96,100,5.3,RU,1691701006
257,la foa,-21.7108,165.8276,289.92,60,0,2.57,NC,1691701248
258,cabo san lucas,22.8909,-109.9124,309.05,74,75,3.09,MX,1691700906
259,aldama,22.9167,-98.0667,310.09,49,1,7.25,MX,1691701491
260,bunia,1.5667,30.25,290.67,87,6,0.54,CD,1691701491
261,chos malal,-37.3781,-70.2709,280.45,60,70,10.04,AR,1691701491
262,kargasok,59.0556,80.8572,284.99,98,100,3.66,RU,1691701285
263,basco,20.4487,121.9702,301.24,85,66,9.0,PH,1691701246
264,sechura,-5.5569,-80.8222,300.13,57,29,7.83,PE,1691701001
265,kidal,18.4411,1.4078,301.91,54,43,9.9,ML,1691701009
266,mugia,43.1041,-9.2179,295.32,92,61,3.86,ES,1691701035
267,hamilton,39.1834,-84.5333,301.48,63,40,6.17,US,1691700782
268,ampanihy,-24.7,44.75,287.35,80,0,3.54,MG,1691701491
